player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
hillge01,George Hill,2020,33,PG,MIL,10.7,MIL,52,1103,35.2,21.2,15.5,66.8,4.7,4.8,1.4,1.5,3.2,0.9,4.1,3.8,11.5,14,15.8,18.4,11.6,4.3,9.2,6.9,1.7,0.3,131.6,16.3,104.6,57.1,48,83.1,45.2,24.7
ilyaser01,Ersan ?lyasova,2020,32,PF,MIL,10.7,MIL,56,895,28.6,16,14.6,59.1,1.8,10.6,1.4,1.3,0.6,0.8,1.4,1.9,11.2,12,16.4,7,9.3,7.1,22.5,15.2,1.2,1.4,119.1,16.3,101.4,54.8,37.1,82.7,42.8,25.9
lopezro01,Robin Lopez,2020,31,C,MIL,10.7,MIL,60,862,27.5,14.4,13.1,56.5,1.6,5.8,2,2.1,-3.3,0.8,-2.5,0.1,6.4,6.8,16.6,6.4,15.6,6.3,10.2,8.4,0.5,4.1,103.8,16.4,104.2,58.8,34.4,53.5,35.2,15.8
korveky01,Kyle Korver,2020,38,SF,MIL,10.7,MIL,50,833,26.6,16.7,13.8,61.3,2.5,4.3,1.4,1.7,0.9,-0.2,0.7,1.5,7.4,8.6,15.7,9.5,13.3,1.8,10.1,6.2,1.2,1.3,112.2,15.1,105,48.1,41.5,82.4,79.9,13.1
brownst02,Sterling Brown,2020,24,SF,MIL,10.7,MIL,45,665,21.2,14.8,11.5,47.8,2.4,8.5,1.5,1.9,-2.4,1.5,-0.9,0.6,7.9,7,16.7,8.8,13.4,4.4,19.2,12.3,1.5,0.9,96.1,16.7,101.9,42.3,31.6,77.1,52.3,16.1
wilsodj01,D.J. Wilson,2020,23,PF,MIL,10.7,MIL,31,280,8.9,9,12.2,47.6,2.7,8.3,0.9,1.8,-5,-3.3,-8.3,-0.8,7.2,5.2,17.7,10.3,12.5,3.8,19.3,12,0.3,1.6,95.4,17.5,104.1,56.5,25.5,66.7,54.5,8.9
willima02,Marvin Williams,2020,33,PF,MIL,10.7,MIL,11,203,6.5,18.5,7.4,54,2.5,6.6,2.2,0.5,0.2,1.5,1.7,0.5,6.8,7.9,8.9,9,6.9,2.6,15.6,9.5,2,1.7,119.2,9.2,101,66.7,29.6,100,69.2,10.3
antetth01,Thanasis Antetokounmpo,2020,27,SF,MIL,10.7,MIL,18,93,3,5.2,16.6,52.8,3.3,7,2.9,4.1,-1.9,1.2,-0.8,0.1,6.6,7.4,23.8,13.8,20.5,12.4,8,10.1,2.9,1.9,98.6,25,100.8,65.5,0,46.7,19.4,41.7
bendedr01,Dragan Bender,2020,22,SF,MIL,10.7,MIL,7,91,2.9,13,9.8,58.2,3.4,7.5,1.9,1.9,0,-1.5,-1.5,0.1,6.5,4.4,12.4,12.5,18.3,0,20.5,10.9,0,4.8,105.2,12.5,102,50,44.4,66.7,42.9,14.3
masonfr01,Frank Mason III,2020,25,PG,MIL,10.7,MIL,6,53,1.7,8.8,9.1,33.7,7.1,5.2,1.3,3.9,-5.2,4,-1.3,0,3.4,0.7,20.8,25.6,22.4,6,8.8,7.5,1.7,0,80,23,104.9,33.3,20,50,52.6,21.1
okogijo01,Josh Okogie,2020,21,SG,MIN,-4.1,MIN,62,1547,49.7,25,12,55.3,2.2,6,2.1,2,-2.1,0.4,-1.7,0.8,7,7.5,15.1,8.9,15.3,5.7,12.8,9.1,2,1.4,108.4,15.6,112.6,52.9,26.6,79.6,38.7,48
culveja01,Jarrett Culver,2020,20,SG,MIN,-4.1,MIN,63,1506,48.4,23.9,13.4,46.7,2.5,4.9,2.2,1.9,-2.5,-1.3,-3.8,-0.8,5.4,5.5,19.2,10.8,11.5,4.7,10.3,7.4,1.8,2.1,94.5,19,113.4,47.1,29.9,46.2,38.8,20.6
wiggian01,Andrew Wiggins,2020,24,SF,MIN,-4.1,MIN,42,1455,46.8,34.6,22.5,53.5,3.7,5.2,1.6,2.6,0.4,-2.5,-2.1,0.5,10.7,9.5,28,18.1,10.8,3.4,12.9,7.9,0.9,2.1,104.2,27.1,114.7,50.5,33.1,72,34.8,26.2
covinro01,Robert Covington,2020,29,PF,MIN,-4.1,MIN,48,1411,45.3,29.4,15.2,57.2,1.4,7.1,3.1,1.8,0.1,1.4,1.5,3.1,9.1,9.9,17.8,5.9,12,2.6,19.5,10.7,2.6,2.6,105.5,16.9,108.8,58.7,34.6,79.8,62.9,19
townska01,Karl-Anthony Towns,2020,24,C,MIN,-4.1,MIN,35,1187,38.1,33.9,27.2,64.2,4.5,11.1,2.2,3.2,5.8,0.8,6.6,5.7,18.2,19.5,28.8,22.8,13.2,8.1,26.1,16.8,1.3,2.9,120.6,28.7,110.1,58.6,41.2,79.6,44.5,36.3
teaguje01,Jeff Teague,2020,31,PG,MIN,-4.1,MIN,34,945,30.4,27.8,16.5,57.8,7.7,3.2,1.4,2.8,0.6,-4.2,-3.5,-0.4,11,10.1,20.2,32.5,16.4,1.6,8.5,4.9,1.2,1.1,116,21.7,115.7,47.3,37.9,86.8,26.9,44.4
napiesh01,Shabazz Napier,2020,28,PG,MIN,-4.1,MIN,36,856,27.5,23.8,14.1,53.9,7.6,4.5,1.9,3.1,-0.1,-0.2,-0.3,1.1,10.2,9.6,19.1,31.3,19.1,2,11.9,6.8,2.2,0.7,107.8,20.8,113.1,54,29.6,81.8,56.2,31.1
dienggo01,Gorgui Dieng,2020,30,C,MIN,-4.1,MIN,46,778,25,16.9,15.3,56.3,2.6,11.5,3.5,2,-3,6.2,3.2,2.3,11.9,13.8,18.4,11.1,12.7,9.5,25.8,17.4,2.2,4.5,112.8,18.9,107,49.7,38.3,79.7,43.3,21.3
grahatr01,Treveon Graham,2020,26,SG,MIN,-4.1,MIN,33,663,21.3,20.1,9,44.7,1.6,5.3,1,1,-4.7,0.7,-4,-0.4,3.6,3.1,13.1,6.1,9,4.5,11.7,8,1.2,0.3,96.8,13,115.6,45.7,24.1,73,47.4,21.1
bateske01,Keita Bates-Diop,2020,24,SF,MIN,-4.1,MIN,37,646,20.8,17.5,13.5,53.5,1.6,5.9,2,0.8,-2.7,-2.2,-4.9,-0.7,8.3,9.1,15.8,6.7,5.6,3.3,15.1,9,1.2,2.6,111.4,15.2,113.2,50,33,70.8,45.6,31.6
mclaujo01,Jordan McLaughlin,2020,23,PG,MIN,-4.1,MIN,30,590,19,19.7,13.5,58.7,7.4,2.9,2.2,1.8,2.1,0.5,2.5,1.6,11.2,12.7,15.8,31,13.7,1.2,7.8,4.4,2.7,0.6,121.2,17.2,113,56.9,38.2,66.7,42.7,21.9
